product_name,id,tag,tag 2,tag 3,tag 4,point,date,ico_offlineStore,txt,txt 2,txt 3,txt_inner,point_flag,more_msg
에스네이처 아쿠아 오아시스 수분 젤크림,Zzang쭈돌,건성,쿨톤,민감성,아토피,5점만점에 5점,2025.06.30,매장,지성에 좋아요,진정에 좋아요,자극없이 순해요,에스네이처 히알루론산 수분크림 사용중인데 너무 잘맞아서 여름용으로도 에스네이처제품 장만했습니다.  엄청가벼워요,,
에스네이처 아쿠아 오아시스 수분 젤크림,플링,복합성,가을웜톤,모공,블랙헤드,5점만점에 5점,2025.07.04,,복합성에 좋아요,진정에 좋아요,자극없이 순해요,복합성 +젤타입들은 속드름이 잘나서 피했는데날이 덥고 습해지니 뭘발라도 뱉어내는 중.간절기때 은색크림을 잘썻어서 요거 사봤어요.일단  젤타입이라 별로겠다 했는데 ?? 젤타입인데 피부가 받아들임.첫느낌이 미세하게 쿨링감이 있고 가볍게 흡수됩니다!건성분이 쓰시기엔 매우가볍겠고 지성분들은 잘쓰지않을까?싶은 깔끔함.생각보다 진정효과가 좋았던게 이마 장벽무너져서 피부 따갑고 좁쌀처럼 잔뜩올라왔는데 수분앰플+수분크림+ 장벽크림에서 수분크림을 요거로 바꾸고 바로 가라앉더라고요!지금은 1차수분크림으로 바르고 볼만 수분크림 추가바르는데 가볍게 수분진정 딱이고 화장전에는 단독으로 사용하고 쿨링선크림 바르면 화장도 잘먹어요!,,
에스네이처 아쿠아 오아시스 수분 젤크림,김냐미,복합성,겨울쿨톤,모공,미백,5점만점에 5점,2025.06.25,,건성에 좋아요,진정에 좋아요,자극없이 순해요,가벼운 젤 크림 찾으시먄 추천드려요 ㅎㅎ 여름철에 단독사용하기 좋아요,한달이상사용,첫 리뷰 작성 후 30일 동안 사용 후 작성하신 리뷰입니다.
에스네이처 아쿠아 오아시스 수분 젤크림,신매력sm,민감성,겨울쿨톤,모공,민감성,5점만점에 5점,2025.07.03,매장,지성에 좋아요,보습에 좋아요,자극없이 순해요,두개사서 하나는 지인주고 하나는 제가써요재구매 의향 있어요,한달이상사용,첫 리뷰 작성 후 30일 동안 사용 후 작성하신 리뷰입니다.
에스네이처 아쿠아 오아시스 수분 젤크림,신매력sm,민감성,겨울쿨톤,모공,민감성,5점만점에 5점,2025.07.03,매장,지성에 좋아요,보습에 좋아요,자극없이 순해요,전 수분크림은 이게 제일 좋은거같아요기름지지도않고 여름수분딱인듯,재구매,2회 이상 구매한 상품에 대한 리뷰입니다.
에스네이처 아쿠아 오아시스 수분 젤크림,Hola,복합성,웜톤,모공,잡티,5점만점에 5점,2025.06.30,,복합성에 좋아요,진정에 좋아요,자극없이 순해요,에스네이처 은색 수분크림을 잘쓰다가 여름에는 조금 더 가벼웠으면했는데 이거 좋네요,,
에스네이처 아쿠아 오아시스 수분 젤크림,쇼핑훈,복합성,웜톤,각질,모공,5점만점에 5점,2025.06.23,,지성에 좋아요,보습에 좋아요,자극없이 순해요,끈적임 없이 순수 보습은 최고 무겁지도않고 기름기 많은사람 여름에 하기딱,,
에스네이처 아쿠아 오아시스 수분 젤크림,로돗돗,지성,쿨톤,모공,민감성,5점만점에 2점,2025.06.08,,복합성에 좋아요,진정에 좋아요,보통이에요,👩피부타입: 수부지~지성 / 여드름 / 홍조장점: 쿨링감 ㅇ😨단점: 나름 지성이라고 생각했는데 가벼워도 너~~~무 가볍습니다. 여름에도 부족해요.단독으로는 X 쿨링용으로 쓸 것 같아요.재구매 의사 XX,한달이상사용,첫 리뷰 작성 후 30일 동안 사용 후 작성하신 리뷰입니다.
에스네이처 아쿠아 오아시스 수분 젤크림,키라59,민감성,여름쿨톤,다크서클,모공,5점만점에 5점,2025.07.08,,복합성에 좋아요,보습에 좋아요,자극없이 순해요,"물을 굳혀놓은 것처럼 수분감 가득한 제형이에요.세럼만 써오다가, 수분이 계속 채워지지 않는 느낌이 들어서 구입했어요.듬뿍듬뿍 바르다보니 금방 사용해서, 가격대가 다소 높게 느껴지는 점은 좀 아쉽지만 정말 만족하는 제품이었습니다.",한달이상사용,첫 리뷰 작성 후 30일 동안 사용 후 작성하신 리뷰입니다.
에스네이처 아쿠아 오아시스 수분 젤크림,하림보,복합성,쿨톤,탄력,,5점만점에 5점,2025.07.04,매장,건성에 좋아요,보습에 좋아요,자극없이 순해요,"자극없이 순해서 좋고, 꾸준히 사용할수록 속건조가 잡혀서 좋아요. 올리브영에 다양한 제품들과 브랜드들이 많아져서 선택할 수 있는 제품들이 많아져서 너무 좋아요. 다양한 시도를 할 수 있는 게 가장 큰 장점 같습니다. 매장도 많아져서 접근성이 쉽고, 배송도 잘 돼서 더 자주 보게 되는 거 같아요. 제품들에 대한 전반적인 만족도가 너무 좋아서 뒤도 안 돌아보고 믿고 삽니다. 다른 경쟁사들에 비해 신뢰도가 많이 올라가서 믿음을 갖고 살 수 있는 곳이라는 생각이 자리잡게 된 것 같아요. 항상 말하는 메세지인 '건강한 아름다움'을 제 일상에서 추구하면서 살고 있는 거 같아요. 그 슬로건에 딱 맞는 제품들이 항상 있는 것 같아서 너무 좋습니다. 또한 다른 사람들의 리뷰를 한번에 종합해서 볼 수 있는 것도 너무 유익한 것 같아요. 건강한 아름다움을 유지하는 데에 큰 도움이 되어 리뷰를 남겨봅니다.",한달이상사용,첫 리뷰 작성 후 30일 동안 사용 후 작성하신 리뷰입니다.
에스네이처 아쿠아 오아시스 수분 젤크림,하림보,복합성,쿨톤,탄력,,5점만점에 5점,2025.07.04,,건성에 좋아요,보습에 좋아요,자극없이 순해요,자극이 없어서 너무 좋아요. 요즘에 올리브영에서 필요한 것들을 많이 팔다보니 너무 좋은 것 같습니다. 접근성이 쉬우니까 더 자주 들어가서 보게 되는 거 같아요. 제품들의 종류와 질 자체가 너무 좋아서 뒤도 안 돌아보고 믿고 삽니다. 다른 경쟁사들에 비해 신뢰도가 많이 올라가서 믿음을 갖고 살 수 있는 곳이 올리브영이 된 것 같아요. 올리브영이 항상 말하는 '건강한 아름다움'을 제 일상에서 추구하면서 살고 있는 거 같아요. 그 슬로건에 딱 맞는 제품들이 많아서 너무 좋습니다. 그리고 또한 포인트 적립도 너무 좋고 다른 사람들의 리뷰를 한번에 종합해서 볼 수 있는 것도 너무 좋은 것 같습니다. 건강한 아름다움을 유지하는 데에 큰 도움이 되어 리뷰를 남겨봅니다,재구매,2회 이상 구매한 상품에 대한 리뷰입니다.
